tanggal,harga_oz,kurs_oz,idr_oz,harga_gr,kurs_gr,idr_gr,update_asli
07 Mei 2020,"1.714,87 (-909,62)","15.127,01 (-1.034,99)",25.940.856,"55,13","15.127,01","834.018 (-529.720,58)","07 Mei 2020, pukul 23:59"
08 Mei 2020,"1.710,30 (-914,19)","15.009,01 (-1.152,99)",25.669.910,"54,99","15.009,01","825.307 (-538.431,69)","08 Mei 2020, pukul 23:59"
09 Mei 2020,"1.702,22 (-922,27)","15.009,01 (-1.152,99)",25.548.637,"54,73","15.009,01","821.408 (-542.330,70)","09 Mei 2020, pukul 23:59"
10 Mei 2020,"1.702,22 (-922,27)","15.009,01 (-1.152,99)",25.548.637,"54,73","15.009,01","821.408 (-542.330,70)","10 Mei 2020, pukul 23:59"
11 Mei 2020,"1.696,99 (-927,50)","14.936,00 (-1.226,00)",25.346.243,"54,56","14.936,00","814.901 (-548.837,83)","11 Mei 2020, pukul 23:59"
12 Mei 2020,"1.702,50 (-921,99)","14.978,00 (-1.184,00)",25.500.045,"54,74","14.978,00","819.845 (-543.892,97)","12 Mei 2020, pukul 23:59"
13 Mei 2020,"1.712,40 (-912,09)","14.887,01 (-1.274,99)",25.492.516,"55,05","14.887,01","819.603 (-544.135,04)","13 Mei 2020, pukul 23:59"
14 Mei 2020,"1.733,94 (-890,55)","14.946,00 (-1.216,00)",25.915.467,"55,75","14.946,00","833.202 (-530.536,84)","14 Mei 2020, pukul 23:59"
15 Mei 2020,"1.749,04 (-875,45)","14.909,01 (-1.252,99)",26.076.455,"56,23","14.909,01","838.377 (-525.360,96)","15 Mei 2020, pukul 23:59"
16 Mei 2020,"1.742,33 (-882,16)","14.909,01 (-1.252,99)",25.976.415,"56,02","14.909,01","835.161 (-528.577,31)","16 Mei 2020, pukul 23:59"
17 Mei 2020,"1.742,33 (-882,16)","14.909,01 (-1.252,99)",25.976.415,"56,02","14.909,01","835.161 (-528.577,31)","17 Mei 2020, pukul 23:59"
